REF_AREA,MEASURE,UNIT_MEASURE,AGE,SEX,EDUCATION_LEVEL,INCOME_GROUP,EMP_STATUS,TIME_PERIOD,OBS_VALUE,BREAKDOWN_V7_HH,V7 Breakdowns households
DEU,F2B_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,8.4292,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F1B_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,46.1735,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F2_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,82.3242,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1G_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,79.0733,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1T_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,84.66799999999999,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,F4F_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,2.0831,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,H1C_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,48.852,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,I7B_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,40.4546,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,I8_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,58.8064,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1F_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,90.3238,I_HI,Individuals aged 16-74 with a high level of educational attainment
DEU,D1X_I,PT_POP,Y16T74,Total,HI,Total,Total,2025,45.9695,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,G2B1_I,PT_POP,Y16T74,Total,HI,Total,Total,2024,18.9403,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1F_I,PT_POP,Y16T74,Total,HI,Total,Total,2024,89.21759999999999,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,D1E_I,PT_POP,Y16T74,Total,HI,Total,Total,2024,75.9445,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F1B_I,PT_POP,Y16T74,Total,HI,Total,Total,2024,65.44529999999999,I_HI,Individuals aged 16-74 with a high level of educational attainment
FRA,F1A_I,PT_POP,Y16T74,Total,HI,Total,Total,2024,67.411,I_HI,Individuals aged 16-74 with a high level of educational attainment
